qn,label,pronoun,quote,source,text,options,pronoun_loc,quote_loc
0,0,พวกเขา,พวกเขากลัวความรุนแรง,(Winograd 1972),สมาชิกสภาเทศบาลเมืองปฏิเสธใบอนุญาตผู้ชุมนุมเพราะพวกเขากลัวความรุนแรง,['สมาชิกสภาเทศบาลเมือง' 'ผู้ชุมนุม'],48,48
1,1,พวกเขา,พวกเขาสนับสนุนความรุนแรง,(Winograd 1972),สมาชิกสภาเทศบาลเมืองปฏิเสธใบอนุญาตผู้ชุมนุมเพราะพวกเขาสนับสนุนความรุนแรง,['สมาชิกสภาเทศบาลเมือง' 'ผู้ชุมนุม'],48,48
2,0,มัน,มันใหญ่เกินไป,Hector Levesque,ถ้วยรางวัลใส่ในกระเป๋าเดินทางสีน้ำตาลไม่ได้เพราะมันใหญ่เกินไป,['ถ้วยรางวัล' 'กระเป๋าเดินทาง'],48,48
3,1,มัน,มันเล็กเกินไป,Hector Levesque,ถ้วยรางวัลใส่ในกระเป๋าเดินทางสีน้ำตาลไม่ได้เพราะมันเล็กเกินไป,['ถ้วยรางวัล' 'กระเป๋าเดินทาง'],48,48
4,0,เธอ,ที่เธอได้รับ,Hector Levesque,ชูใจได้แสดงความขอบคุณมานีสำหรับความช่วยเหลือทั้งหลายที่เธอได้รับ,['ชูใจ' 'มานี'],55,52
5,1,เธอ,ที่เธอได้ให้ไว้,Hector Levesque,ชูใจได้แสดงความขอบคุณมานีสำหรับความช่วยเหลือทั้งหลายที่เธอได้ให้ไว้,['ชูใจ' 'มานี'],55,52
6,0,เขา,เขาโทรไม่ติด,Hector Levesque,มานะพยายามโทรศัพท์หาปิติ แต่เขาโทรไม่ติด,['มานะ' 'ปิติ'],28,28
7,1,เขา,เขาไม่สะดวก,Hector Levesque,มานะพยายามโทรศัพท์หาปิติ แต่เขาไม่สะดวก,['มานะ' 'ปิติ'],28,28
8,0,เขา,เขาลังเล,Hector Levesque,ทนายความถามคำถามกับพยาน แต่เขาลังเลที่จะทวนมันอีกครั้ง,['ทนายความ' 'พยาน'],27,27
9,1,เขา,เขาลังเล,Hector Levesque,ทนายความถามคำถามกับพยาน แต่เขาลังเลที่จะตอบมัน,['ทนายความ' 'พยาน'],27,27
10,0,มัน,มันวิ่งเข้ามาเร็วมาก,Hector Levesque,รถส่งของวิ่งแซงรถโรงเรียนเพราะมันวิ่งเข้ามาเร็วมาก,['รถส่งของ' 'รถโรงเรียน'],30,30
11,1,มัน,มันวิ่งเข้ามาช้าเกินไป,Hector Levesque,รถส่งของวิ่งแซงรถโรงเรียนเพราะมันวิ่งเข้ามาช้าเกินไป,['รถส่งของ' 'รถโรงเรียน'],30,30
12,0,เขา,เขาคือผู้ชนะการแแข่งขัน,Hector Levesque,สมชายรู้สึกพอใจตอนที่สมศักดิ์คู่แข่งเก่าแก่ของเขาเฉลยว่าเขาคือผู้ชนะการแแข่งขัน,['สมชาย' 'สมศักดิ์'],56,56
13,1,เขา,เขาคือผู้ชนะการแแข่งขัน,Hector Levesque,สมชายรู้สึกเสียใจตอนที่สมศักดิ์คู่แข่งเก่าแก่ของเขาเฉลยว่าเขาคือผู้ชนะการแแข่งขัน,['สมชาย' 'สมศักดิ์'],58,58
14,0,เขา,เขาอ่อนแอเกินไป,Hector Levesque,ชายคนนั้นไม่สามารถอุ้มลูกชายได้เพราะเขาอ่อนแอเกินไป,['ชายคนนั้น' 'ลูกชาย'],36,36
15,1,เขา,เขาหนักเกินไป,Hector Levesque,ชายคนนั้นไม่สามารถอุ้มลูกชายได้เพราะเขาหนักเกินไป,['ชายคนนั้น' 'ลูกชาย'],36,36
16,0,มัน,เพราะมันทำจากเหล็ก,Hector Levesque,ลูกบอลอันใหญ่กระแทกแล้วทะลุโต๊ะไปเพราะมันทำจากเหล็ก,['ลูกบอลอันใหญ่' 'โต๊ะ'],38,33
17,1,มัน,เพราะมันทำจากโฟม,Hector Levesque,ลูกบอลอันใหญ่กระแทกแล้วทะลุโต๊ะไปเพราะมันทำจากโฟม,['ลูกบอลอันใหญ่' 'โต๊ะ'],38,33
18,0,เขา,เขาตัวเล็กเกินไป,Hector Levesque,สมเกียรติมองไม่เห็นเวทีกับสมจิตรที่อยู่ข้างหน้าเพราะเขาตัวเล็กเกินไป,['สมเกียรติ' 'สมจิต'],52,52
19,1,เขา,เขาตัวสูงเกินไป,Hector Levesque,สมเกียรติมองไม่เห็นเวทีกับสมจิตรที่อยู่ข้างหน้าเพราะเขาตัวสูงเกินไป,['สมเกียรติ' 'สมจิต'],52,52
20,0,เขา,เขาขึ้นบันไดไปแล้ว,Hector Levesque,สมบูรณ์โยนกระเป๋านักเรียนของเขาลงไปให้สมบัตรหลังจากที่เขาขึ้นบันไดไปแล้ว,['สมบูรณ์' 'สมบัตร'],54,54
21,1,เขา,เขาลงบันไดไปแล้ว,Hector Levesque,สมบูรณ์โยนกระเป๋านักเรียนของเขาลงไปให้สมบัตรหลังจากที่เขาลงบันไดไปแล้ว,['สมบูรณ์' 'สมบัตร'],54,54
22,0,เธอ,เธอออกตัวได้ดีกว่า,Hector Levesque,แม้ว่าทั้งคู่จะวิ่งมาด้วยความเร็วเท่ากัน แต่ตะวันชนะต้องตาเพราะเธอออกตัวได้ดีกว่า,['ตะวัน' 'ต้องตา'],63,63
23,1,เธอ,เธอออกตัวได้แย่กว่า,Hector Levesque,แม้ว่าทั้งคู่จะวิ่งมาด้วยความเร็วเท่ากัน แต่ตะวันชนะต้องตาเพราะเธอออกตัวได้แย่กว่า,['ตะวัน' 'ต้องตา'],63,63
24,0,มัน,มันไม่ได้ถูกตรึงไว้,Hector Levesque,หุ่นตัวนั้นกลิ้งตกลงมาจากชั้นวางเพราะมันไม่ได้ถูกตรึงไว้,['หุ่นตัวนั้น' 'ชั้นวาง'],37,37
25,1,มัน,มันเอียง,Hector Levesque,หุ่นตัวนั้นกลิ้งตกลงมาจากชั้นวางเพราะมันเอียง,['หุ่นตัวนั้น' 'ชั้นวาง'],37,37
26,0,มัน,มันดูดีขึ้นมาเมื่อมีอีกอันอยู่ข้างล่าง,Hector Levesque,ภาพวาดของขิมที่แขวนอยู่ข้างบนของปลื้ม มันดูดีขึ้นมาเมื่อมีอีกอันอยู่ข้างล่าง,['ภาพวาดของขิม' 'ภาพวาดของปลื้ม'],38,38
27,1,มัน,มันดูดีขึ้นมาเมื่อมีอีกอันอยู่ข้างบน,Hector Levesque,ภาพวาดของขิมที่แขวนอยู่ข้างบนของปลื้ม มันดูดีขึ้นมาเมื่อมีอีกอันอยู่ข้างบน,['ภาพวาดของขิม' 'ภาพวาดของปลื้ม'],38,38
28,0,เธอ,เธอตั้งใจอ่านหนังสืออย่างหนัก,Hector Levesque,น้ำฝนทำข้อสอบได้ดีกว่าน้ำค้างเพื่อนสนิทของเธอมากเพราะเธอตั้งใจอ่านหนังสืออย่างหนัก,['น้ำฝน' 'น้ำค้าง'],53,53
29,1,เธอ,เธอตั้งใจอ่านหนังสืออย่างหนัก,Hector Levesque,น้ำฝนทำข้อสอบได้แย่กว่าน้ำค้างเพื่อนสนิทของเธอมากเพราะเธอตั้งใจอ่านหนังสืออย่างหนัก,['น้ำฝน' 'น้ำค้าง'],54,54
30,0,พวกเขา,พวกเขาเดินทางมาไกลกว่า,Hector Levesque,นักดับเพลิงมาถึงหลังจากตำรวจเพราะพวกเขาเดินทางมาไกลกว่า,['นักดับเพลิง' 'ตำรวจ'],33,33
31,1,พวกเขา,พวกเขาเดินทางมาไกลกว่า,Hector Levesque,นักดับเพลิงมาถึงก่อนตำรวจเพราะพวกเขาเดินทางมาไกลกว่า,['นักดับเพลิง' 'ตำรวจ'],30,30
32,0,เขา,เขาซื้อมา,Hector Levesque,นนท์รู้สึกไม่พอใจกับภัทรเพราะเครื่องปิ้งขนมปังที่เขาซื้อมาใช้งานไม่ได้,['นนท์' 'ภัทร'],49,49
33,1,เขา,เขาขายให้,Hector Levesque,นนท์รู้สึกไม่พอใจกับภัทรเพราะเครื่องปิ้งขนมปังที่เขาขายให้ใช้งานไม่ได้,['นนท์' 'ภัทร'],49,49
34,0,เขา,เขาอารมณ์ไม่ดี,Hector Levesque,กรณ์ตะคอกใส่ภีมเพราะเขาอารมณ์ไม่ดี,['กรณ์' 'ภีม'],20,20
35,1,เขา,เขาอารมณ์ไม่ดี,Hector Levesque,กรณ์ช่วยปลอบภีมเพราะเขาอารมณ์ไม่ดี,['กรณ์' 'ภีม'],20,20
36,0,มัน,มันออกไปก่อน,Hector Levesque,กระสอบมันฝรั่งวางอยู่ข้างบนถุงแป้ง ดังนั้นจึงจำเป็นต้องเอามันออกไปก่อน,['กระสอบมันฝรั่ง' 'ถุงแป้ง'],58,58
37,1,มัน,มันออกไปก่อน,Hector Levesque,กระสอบมันฝรั่งวางอยู่ข้างล่างถุงแป้ง ดังนั้นจึงจำเป็นต้องเอามันออกไปก่อน,['กระสอบมันฝรั่ง' 'ถุงแป้ง'],60,60
38,0,เขา,เขาประสบความสำเร็จอยู่แล้ว,Ernest Davis,ภาคินอิจฉาออมสินแม้ว่าเขาประสบความสำเร็จอยู่แล้ว,['ภาคิน' 'ออมสิน'],22,22
39,1,เขา,เขาประสบความสำเร็จ,Ernest Davis,ภาคินอิจฉาออมสินเพราะเขาประสบความสำเร็จ,['ภาคิน' 'ออมสิน'],21,21
40,0,พวกเขา,เราเลยลงโทษพวกเขา,Ernest Davis,นักเรียนที่โตกว่ารังแกเด็กที่เด็กกว่า เราเลยลงโทษพวกเขา,['นักเรียนที่โตกว่า' 'เด็กที่เด็กกว่า'],49,38
41,1,พวกเขา,เราเลยช่วยพวกเขา,Ernest Davis,นักเรียนที่โตกว่ารังแกเด็กที่เด็กกว่า เราเลยช่วยพวกเขา,['นักเรียนที่โตกว่า' 'เด็กที่เด็กกว่า'],48,38
42,0,มัน,มันหมด,Ernest Davis,ฉันเทน้ำจากขวดลงในแก้วจนมันหมด,['ขวด' 'แก้ว'],24,24
43,1,มัน,มันเต็ม,Ernest Davis,ฉันเทน้ำจากขวดลงในแก้วจนมันเต็ม,['ขวด' 'แก้ว'],24,24
44,0,เธอ,เธอเป็นคนสอดรู้สอดเห็น,Ernest Davis,จันทร์เจ้ารู้ทุกอย่างเกี่ยวกับปัญหาส่วนตัวของพู่กันเพราะเธอเป็นคนสอดรู้สอดเห็น,['จันทร์เจ้า' 'พู่กัน'],56,56
45,1,เธอ,เธอเป็นคนพูดไม่ระมัดระวัง,Ernest Davis,จันทร์เจ้ารู้ทุกอย่างเกี่ยวกับปัญหาส่วนตัวของพู่กันเพราะเธอเป็นคนพูดไม่ระมัดระวัง,['จันทร์เจ้า' 'พู่กัน'],56,56
46,0,เขา,เขาก็ไม่สามารถโน้มน้าวเขาได้เลย,Ernest Davis,มานะอธิบายทฤษฎีของเขาให้ปิติฟัง แต่เขาก็ไม่สามารถโน้มน้าวเขาได้เลย,['มานะ' 'ปิติ'],35,35
47,1,เขา,เขาก็ไม่สามารถเข้าใจเขาได้เลย,Ernest Davis,มานะอธิบายทฤษฎีของเขาให้ปิติฟัง แต่เขาก็ไม่สามารถเข้าใจเขาได้เลย,['มานะ' 'ปิติ'],35,35
48,0,เธอ,เธอเลยเล่า,Ernest Davis,สมศรีรู้ว่าลูกชายของสมใจประสบอุบัติเหตจากรถชน เธอเลยเล่าให้หล่อนฟัง,['สมศรี' 'สมใจ'],46,46
49,1,เธอ,เธอเล่า,Ernest Davis,สมศรีรู้ว่าลูกชายของสมใจประสบอุบัติเหตจากรถชน เพราะเธอเล่าให้หล่อนฟัง,['สมศรี' 'สมใจ'],51,51
50,0,เขา,เขาอายุน้อยกว่า 30 ปี,Ernest Davis,ลุงของตะวันยังเล่นเทนนิสชนะเขาอยู่ แม้ว่าเขาอายุน้อยกว่า 30 ปีก็ตาม,['ตะวัน' 'ลุงของตะวัน'],41,41
51,1,เขา,เขาอายุมากกว่า 30 ปี,Ernest Davis,ลุงของตะวันยังเล่นเทนนิสชนะเขาอยู่ แม้ว่าเขาอายุมากกว่า 30 ปีก็ตาม,['ตะวัน' 'ลุงของตะวัน'],41,41
52,0,มัน,มันอยู่ด้านขวา,Ernest Davis,ภาพวาดในห้องนั่งเล่นปลื้มมองเห็นต้นโอ๊ก มันอยู่ด้านขวาของตู้หนังสือ,['ภาพวาด' 'ต้นโอ๊ค'],40,40
53,1,มัน,มันอยู่ด้านขวา,Ernest Davis,ภาพวาดในห้องนั่งเล่นปลื้มมองเห็นต้นโอ๊ก มันอยู่ด้านขวาของบ้าน,['ภาพวาด' 'ต้นโอ๊ค'],40,40
54,0,มัน,ผ่านมัน,Ernest Davis,มีช่องว่างระหว่างผนังที่คุณสามารถมองเห็นสวนผ่านมันได้,['ช่องว่าง' 'ผนัง'],47,43
55,1,มัน,ข้างหลังมัน,Ernest Davis,มีช่องว่างระหว่างผนังที่คุณสามารถมองเห็นสวนข้างหลังมันได้,['ช่องว่าง' 'ผนัง'],51,43
56,0,มัน,มันควรถูกทำความสะอาด,Ernest Davis,ท่อระบายน้ำที่ตันเพราะเส้นผม มันควรถูกทำความสะอาด,['ท่อระบายน้ำ' 'เส้นผม'],29,29
57,1,มัน,มันควรถูกเอาออกไป,Ernest Davis,ท่อระบายน้ำที่ตันเพราะเส้นผม มันควรถูกเอาออกไป,['ท่อระบายน้ำ' 'เส้นผม'],29,29
58,0,มัน,มันเร็วกว่าที่คิด,Ernest Davis,การประชุมของฉันเริ่มเวลา 16:00 น. และฉันจะต้องขึ้นรถไฟเวลา 16:30 น. มีเวลาไม่มาก แต่โชคดีที่มันเร็วกว่าที่คิด เลยผ่านไปได้ด้วยดี,['การประชุม' 'รถไฟ'],92,92
59,1,มัน,มันสายกว่าที่คิด,Ernest Davis,การประชุมของฉันเริ่มเวลา 16:00 น. และฉันจะต้องขึ้นรถไฟเวลา 16:30 น. มีเวลาไม่มาก แต่โชคดีที่มันสายกว่าที่คิด เลยผ่านไปได้ด้วยดี,['การประชุม' 'รถไฟ'],92,92
60,0,มัน,เห็นรอบๆ มัน,Ernest Davis,มีเสากั้นระหว่างฉันกับเวที และฉันไม่สามารถมองเห็นรอบๆ มันได้,['เสา' 'เวที'],54,45
61,1,มัน,มองเห็นมัน,Ernest Davis,มีเสากั้นระหว่างฉันกับเวที และฉันไม่สามารถมองเห็นมัน ได้,['เสา' 'เวที'],49,42
62,0,มัน,ได้ยินมัน,Ernest Davis,พวกเขาประกาศเสียงตามสาย แต่มีรถไฟใต้ดินเข้ามาในสถานีและฉันไม่ได้ยินมัน,['เสียงตามสาย' 'รถไฟใต้ดิน'],67,61
63,1,มัน,มันก็กลบทุกอย่าง,Ernest Davis,พวกเขาประกาศเสียงตามสาย แต่มีรถไฟใต้ดินเข้ามาในสถานีและเสียงมันก็กลบทุกอย่าง,['เสียงตามสาย' 'รถไฟใต้ดิน'],60,60
64,0,มัน,มันยังต่อเนื่อง,Ernest Davis,ระหว่างการแสดงคอนเสิร์ตข้างนอก ฝนเริ่มตกลงมา แต่มันยังต่อเนื่องไปจนถึงสี่ทุ่ม,['คอนเสิร์ต' 'ฝน'],48,48
65,1,มัน,มันยังต่อเนื่อง,Ernest Davis,ระหว่างการแสดงคอนเสิร์ตข้างนอก ฝนเริ่มตกลงมา และมันยังต่อเนื่องไปจนถึงสี่ทุ่ม,['คอนเสิร์ต' 'ฝน'],48,48
66,0,มัน,ทิ้งมันลงถังขยะ,Ernest Davis,ฉันใช้ผ้าขี้ริ้วเก่าๆ ทำความสะอาดมีด แล้วทิ้งมันลงถังขยะ,['ผ้าขี้ริ้วเก่าๆ' 'มีด'],45,41
