Dataset_en,Model Answer_en,Gold Label_en,Correct_en,Gold Label_th,Model Answer_th,Correct_th
dataset_en,the trophy,the suitcase,0,กระเป๋าเดินทาง,ถ้วยรางวัล,0
dataset_en,George,Paul,0,มานะ,ปิติ,0
dataset_en,the witness,the lawyer,0,ทนายความ,พยาน,0
dataset_en,Tom,Ray,0,สมบัตร,สมบูรณ์,0
dataset_en,The sculpture,The shelf,0,ชั้นวาง,หุ่นตัวนั้น,0
dataset_en,Sam's drawing,Tina's drawing,0,ภาพวาดของปลื้ม,ภาพวาดของขิม,0
dataset_en,Tom,Frank,0,นนท์,ภัทร,0
dataset_en,The sack of potatoes,The bag of flour,0,ถุงแป้ง,กระสอบมันฝรั่ง,0
dataset_en,Mark,Sid,0,มานะ,ปิติ,0
dataset_en,Joe's uncle,Joe,0,ตะวัน,ลุงของตะวัน,0
dataset_en,The oak tree,The painting,0,ภาพวาด,ต้นโอ๊ค,0
dataset_en,The rain,The concert,0,คอนเสิร์ต,ฝน,0
dataset_en,Bob,Adam,0,มานะ,ปิติ,0
dataset_en,The con artist,Sam,0,สมรัก,นักต้มตุ๋น,0
dataset_en,The juggler,John,0,ธนากร,ชายผู้เล่นจักกลิ้ง,0
dataset_en,Amy's parents,Sam and Amy,0,เอ็มและยุ้ย,ผู้ปกครองของยุ้ย,0
dataset_en,The newspaper,The backpack,0,กระเป๋าเป้,หนังสือพิมพ์,0
dataset_en,Arnold,Jackson,0,สนทรภู่,อุดม,0
dataset_en,The axe,The tree,0,ต้นไม้,ขวาน,0
dataset_en,Yakutsk,Kamchatka,0,คัมชัตคา,ยาคุตสค์,0
dataset_en,The pen,The coffee,0,กาแฟ,ปากกา,0
dataset_en,Jim,The barman,0,พนักงานเสิร์ฟ,เฉลิม,0
dataset_en,Bill,Dan,0,ไตรภพ,ดิลก,0
dataset_en,Andrea,Susan,0,ดาริน,ณัชชา,0
dataset_en,John,Bill,0,ตะวัน,กันต์ธี,0
dataset_en,The man,The boy,0,เด็กผู้ชาย,บุรุษ,0
dataset_en,Joan,Jane,0,นานา,บลู,0
dataset_en,Robert,James,0,ไทม์,ไนท์,0
dataset_en,The trainer,Madonna,0,พริ้ม,ครูฝึก,0
dataset_en,Rebecca,Carol,0,พลอย,แพร,0
dataset_en,Luke,Ethan,0,ดอน,ศุภชัย,0
dataset_en,the chatbots,the judges,0,กลุ่มกรรมการ,แชทบอท,0
