Dataset,Model Answer,Gold Label,Correct
dataset_en,The city councilmen,The city councilmen,1
dataset_en,The city councilmen,The demonstrators,0
dataset_en,the trophy,the trophy,1
dataset_en,the suitcase,the suitcase,1
dataset_en,Susan,Joan,0
dataset_en,Susan,Susan,1
dataset_en,Paul,Paul,1
dataset_en,George,George,1
dataset_en,the witness,the lawyer,0
dataset_en,the witness,the witness,1
dataset_en,the delivery truck,the delivery truck,1
dataset_en,the delivery truck,the school bus,0
dataset_en,Frank,Frank,1
dataset_en,Bill,Bill,1
dataset_en,The man,The man,1
dataset_en,The man,The son,0
dataset_en,The table,The large ball,0
dataset_en,The table,The table,1
dataset_en,John,John,1
dataset_en,Billy,Billy,1
dataset_en,Tom,Tom,1
dataset_en,Ray,Ray,1
dataset_en,Sue,Sue,1
dataset_en,Sue,Sally,0
dataset_en,The sculpture,The sculpture,1
dataset_en,The sculpture,The shelf,0
dataset_en,Sam's drawing,Sam's drawing,1
dataset_en,Sam's drawing,Tina's drawing,0
dataset_en,Anna,Anna,1
dataset_en,Anna,Lucy,0
dataset_en,The firemen,The firemen,1
dataset_en,The firemen,The police,0
dataset_en,Tom,Frank,0
dataset_en,Frank,Tom,0
dataset_en,Jim,Jim,1
dataset_en,Kevin,Kevin,1
dataset_en,The sack of potatoes,The sack of potatoes,1
dataset_en,The sack of potatoes,The bag of flour,0
dataset_en,Pete,Pete,1
dataset_en,Martin,Martin,1
dataset_en,The older students,The older students,1
dataset_en,The older students,The younger students,0
dataset_en,the bottle,the bottle,1
dataset_en,the cup,the cup,1
dataset_en,Susan,Susan,1
dataset_en,Susan,Ann,0
dataset_en,Sid,Sid,1
dataset_en,Sid,Mark,0
dataset_en,Susan,Susan,1
dataset_en,Susan,Ann,0
dataset_en,Joe's uncle,Joe,0
dataset_en,Joe's uncle,Joe's uncle,1
dataset_en,The painting,The painting,1
dataset_en,The painting,The oak tree,0
dataset_en,The wall,The gap,0
dataset_en,The wall,The wall,1
dataset_en,The drain,The drain,1
dataset_en,The drain,The hair,0
dataset_en,The meeting,The meeting,1
dataset_en,The train,The train,1
dataset_en,The pillar,The pillar,1
dataset_en,The pillar,The stage,0
dataset_en,The announcement,The announcement,1
dataset_en,The announcement,The subway,0
dataset_en,The rain,The concert,0
dataset_en,The rain,The rain,1
dataset_en,The knife,The rag,0
dataset_en,The knife,The knife,1
dataset_en,Ann,Ann,1
dataset_en,Ann,Mary,0
dataset_en,The water bottle,The water bottle,1
dataset_en,The water bottle,The backpack,0
dataset_en,The pot,The pot,1
dataset_en,The pot,The shelf,0
dataset_en,The building,The map,0
dataset_en,The building,The building,1
dataset_en,Bob,Bob,1
dataset_en,Charlie,Charlie,1
dataset_en,Charlie,Bob,0
dataset_en,Charlie,Charlie,1
dataset_en,Bob,Bob,1
dataset_en,Bob,Adam,0
dataset_en,Bob,Adam,0
dataset_en,Bob,Bob,1
dataset_en,The con artist,The con artist,1
dataset_en,The con artist,Sam,0
dataset_en,The dog,The dog,1
dataset_en,The dog,The spot under the tree,0
dataset_en,The cat,The cat,1
dataset_en,The cat,The mouse,0
dataset_en,Anne,Anne,1
dataset_en,Anne's daughter,Anne's daughter,1
dataset_en,Alice,Alice,1
dataset_en,Alice,Alice's daughter,0
dataset_en,Jim,Jim,1
dataset_en,Jim,the guy in uniform,0
dataset_en,The fish,The fish,1
dataset_en,The fish,The worm,0
dataset_en,The key,The key,1
dataset_en,The key,The chewing gum,0
dataset_en,The cat,The dog,0
dataset_en,The cat,The cat,1
dataset_en,The tree,The tree,1
dataset_en,The tree,The roof,0
dataset_en,The teller,The customer,0
dataset_en,The teller,The teller,1
dataset_en,John,John,1
dataset_en,The man,The man,1
dataset_en,John,John,1
dataset_en,The juggler,The juggler,1
dataset_en,Bob,Bob,1
dataset_en,Bob,Carl,0
dataset_en,Amy's parents,Sam and Amy,0
dataset_en,Amy's parents,Amy's parents,1
dataset_en,Pete,Mark,0
dataset_en,Pete,Pete,1
dataset_en,The old house,The old house,1
dataset_en,The new house,The new house,1
dataset_en,People,People,1
dataset_en,People,Paul's books,0
dataset_en,The flute,The flute,1
dataset_en,The piece,The piece,1
dataset_en,The chair,The chair,1
dataset_en,The chair,The piano,0
dataset_en,The newspaper,The newspaper,1
dataset_en,The newspaper,The backpack,0
dataset_en,The book,The book,1
dataset_en,The book,The article,0
dataset_en,The sand castle,The sand castle,1
dataset_en,The sand castle,The flag,0
dataset_en,Jane,Jane,1
dataset_en,Susan,Susan,1
dataset_en,Susan,Jane,0
dataset_en,Susan,Susan,1
dataset_en,Sam,Sam,1
dataset_en,Sam,Adam,0
dataset_en,The path,The path,1
dataset_en,The lake,The lake,1
dataset_en,The sun,The sun,1
dataset_en,The sun,The cloud,0
dataset_en,The lake,The lake,1
dataset_en,The ocean beach,The ocean beach,1
dataset_en,The shepherds,The shepherds,1
dataset_en,The shepherds,The sheep,0
dataset_en,Mary,Mary,1
dataset_en,Mary,Mary's daughter,0
dataset_en,Fred and Alice,Fred and Alice,1
dataset_en,Fred and Alice,coats,0
dataset_en,Thomson,Thomson,1
dataset_en,Cooper,Cooper,1
dataset_en,Arnold,Jackson,0
dataset_en,Arnold,Arnold,1
dataset_en,The tree,The tree,1
dataset_en,The tree,The axe,0
dataset_en,The foxes,The foxes,1
dataset_en,The foxes,The chickens,0
dataset_en,The foxes,The foxes,1
dataset_en,The foxes,The chickens,0
dataset_en,His eyes,His eyes,1
dataset_en,His hands,His hands,1
dataset_en,Tina,Terpsichore,0
dataset_en,Tina,Tina,1
dataset_en,George,Fred,0
dataset_en,George,George,1
dataset_en,The dishwasher,The dishwasher,1
dataset_en,The dishwasher,The TV,0
dataset_en,Fred,Fred,1
dataset_en,Fred,My great-grandfather,0
dataset_en,Fred,Fred,1
dataset_en,Fred,My father,0
dataset_en,Yakutsk,Kamchatka,0
dataset_en,Yakutsk,Yakutsk,1
dataset_en,The minnow,The minnow,1
dataset_en,The duck,The duck,1
dataset_en,Archaeologists,Archaeologists,1
dataset_en,Archaeologists,Prehistoric humans,0
dataset_en,The scientists,The scientists,1
dataset_en,The fish,The fish,1
dataset_en,The stars,The journalists,0
dataset_en,The stars,The stars,1
dataset_en,The gang members,The police,0
dataset_en,The gang members,The gang members,1
dataset_en,The cake,The cake,1
dataset_en,The cake,The refrigerator,0
dataset_en,The ankles,The ankles,1
dataset_en,The ankles,The crutches,0
dataset_en,The sponsors,The sponsors,1
dataset_en,The sponsors,The opponents,0
dataset_en,The oatmeal cookies,The oatmeal cookies,1
dataset_en,The oatmeal cookies,The chocolate chip cookies,0
dataset_en,chairs,copies of the newsletter,0
dataset_en,chairs,chairs,1
dataset_en,The pin,The pin,1
dataset_en,The carrot,The carrot,1
dataset_en,The pen,The pen,1
dataset_en,The pen,The coffee,0
dataset_en,Fred,Steve,0
dataset_en,Fred,Fred,1
dataset_en,The table,The table,1
dataset_en,The table,The doorway,0
dataset_en,The sweater,The sweater,1
dataset_en,The sweater,The jacket,0
dataset_en,Bill,John,0
dataset_en,John,Bill,0
dataset_en,John,John,1
dataset_en,John,Bill,0
dataset_en,Xenophanes,Goodman,0
dataset_en,Xenophanes,Xenophanes,1
dataset_en,Emma's mother,Emma,0
dataset_en,Emma's mother,Emma's mother,1
dataset_en,Susan,Jane,0
dataset_en,Susan,Susan,1
dataset_en,Joe,Joe,1
dataset_en,the detective,the detective,1
dataset_en,Beth,Beth,1
dataset_en,Beth,Sally,0
dataset_en,Jim,Jim,1
dataset_en,Jim,The barman,0
dataset_en,Bill,Dan,0
dataset_en,Bill,Bill,1
dataset_en,Tom,Tom,1
dataset_en,Tom,Ralph,0
dataset_en,Andrea,Andrea,1
dataset_en,Andrea,Susan,0
dataset_en,Tom,Tom,1
dataset_en,Tom,Ralph,0
dataset_en,John,Bill,0
dataset_en,John,John,1
dataset_en,John,Bill,0
dataset_en,John,John,1
dataset_en,The man,The man,1
dataset_en,The man,The boy,0
dataset_en,The woman,The woman,1
dataset_en,The woman,The girl,0
dataset_en,Billy,Billy,1
dataset_en,Billy,Toby,0
dataset_en,Donna,Lily,0
dataset_en,Donna,Donna,1
dataset_en,Tommy,Tommy,1
dataset_en,Tommy,Timmy,0
dataset_en,Ollie,Ollie,1
dataset_en,Ollie,Tommy,0
dataset_en,The father,The father,1
dataset_en,The father,The boy,0
dataset_en,The woman,The woman,1
dataset_en,The woman,The girl,0
dataset_en,Pam's parents,Pam's parents,1
dataset_en,Pam's parents,Pam and Paul,0
dataset_en,Kate,Dr. Adams,0
dataset_en,Kate,Kate,1
dataset_en,Dan,Dan,1
dataset_en,Bill,Bill,1
dataset_en,George,George,1
dataset_en,Eric,Eric,1
dataset_en,George,George,1
dataset_en,Jane,Jane,1
dataset_en,Jane,Joan,0
dataset_en,lemons,lemons,1
dataset_en,lemons,lemon trees,0
dataset_en,Robert,James,0
dataset_en,Robert,Robert,1
dataset_en,Shatov,Kirilov,0
dataset_en,Shatov,Shatov,1
dataset_en,Emma,Emma,1
dataset_en,Emma,Janie,0
dataset_en,The butterfly wing,The butterfly wing,1
dataset_en,The heavy book,The table,0
dataset_en,The trainer,Madonna,0
dataset_en,The trainer,The trainer,1
dataset_en,The trainer,Madonna,0
dataset_en,The trainer,The trainer,1
dataset_en,Rebecca,Carol,0
dataset_en,Rebecca,Rebecca,1
dataset_en,Shakespeare,Shakespeare,1
dataset_en,Shakespeare,Goethe,0
dataset_en,Shakespeare,Ovid,0
dataset_en,Shakespeare,Shakespeare,1
dataset_en,Alice,Alice,1
dataset_en,Alice,Jade,0
dataset_en,Ethan,Ethan,1
dataset_en,Ethan,Luke,0
dataset_en,the judges,the judges,1
dataset_en,the judges,the chatbots,0
dataset_en,GrWQWu8JyC,GrWQWu8JyC,1
dataset_en,GrWQWu8JyC,willow-towered Canopy Huntertropic wrestles,0
dataset_th,สมาชิกสภาเทศบาลเมือง,สมาชิกสภาเทศบาลเมือง,1
dataset_th,สมาชิกสภาเทศบาลเมือง,ผู้ชุมนุม,0
dataset_th,ถ้วยรางวัล,ถ้วยรางวัล,1
dataset_th,ถ้วยรางวัล,กระเป๋าเดินทาง,0
dataset_th,ชูใจ,ชูใจ,1
dataset_th,ชูใจ,มานี,0
dataset_th,มานะ,มานะ,1
dataset_th,มานะ,ปิติ,0
dataset_th,ทนายความ,ทนายความ,1
dataset_th,พยาน,พยาน,1
dataset_th,รถส่งของ,รถส่งของ,1
dataset_th,รถโรงเรียน,รถโรงเรียน,1
dataset_th,สมชาย,สมชาย,1
dataset_th,สมชาย,สมศักดิ์,0
dataset_th,ชายคนนั้น,ชายคนนั้น,1
dataset_th,ชายคนนั้น,ลูกชาย,0
dataset_th,ลูกบอลอันใหญ่,ลูกบอลอันใหญ่,1
dataset_th,ลูกบอลอันใหญ่,โต๊ะ,0
dataset_th,สมเกียรติ,สมเกียรติ,1
dataset_th,สมเกียรติ,สมจิต,0
dataset_th,สมบัตร,สมบูรณ์,0
dataset_th,สมบัตร,สมบัตร,1
dataset_th,ตะวัน,ตะวัน,1
dataset_th,ตะวัน,ต้องตา,0
dataset_th,หุ่นตัวนั้น,หุ่นตัวนั้น,1
dataset_th,หุ่นตัวนั้น,ชั้นวาง,0
dataset_th,ภาพวาดของปลื้ม,ภาพวาดของขิม,0
dataset_th,ภาพวาดของปลื้ม,ภาพวาดของปลื้ม,1
dataset_th,น้ำฝน,น้ำฝน,1
dataset_th,น้ำฝน,น้ำค้าง,0
dataset_th,นักดับเพลิง,นักดับเพลิง,1
dataset_th,นักดับเพลิง,ตำรวจ,0
dataset_th,ภัทร,นนท์,0
dataset_th,ภัทร,ภัทร,1
dataset_th,กรณ์,กรณ์,1
dataset_th,กรณ์,ภีม,0
dataset_th,กระสอบมันฝรั่ง,กระสอบมันฝรั่ง,1
dataset_th,กระสอบมันฝรั่ง,ถุงแป้ง,0
dataset_th,ภาคิน,ภาคิน,1
dataset_th,ภาคิน,ออมสิน,0
dataset_th,นักเรียนที่โตกว่า,นักเรียนที่โตกว่า,1
dataset_th,นักเรียนที่โตกว่า,เด็กที่เด็กกว่า,0
dataset_th,แก้ว,ขวด,0
dataset_th,แก้ว,แก้ว,1
dataset_th,จันทร์เจ้า,จันทร์เจ้า,1
dataset_th,จันทร์เจ้า,พู่กัน,0
dataset_th,มานะ,มานะ,1
dataset_th,มานะ,ปิติ,0
dataset_th,สมศรี,สมศรี,1
dataset_th,สมศรี,สมใจ,0
dataset_th,ตะวัน,ตะวัน,1
dataset_th,ตะวัน,ลุงของตะวัน,0
dataset_th,ต้นโอ๊ค,ภาพวาด,0
