Dataset,Model Answer,Gold Label,Correct
dataset_en,The city councilmen,The city councilmen,1
dataset_en,The demonstrators,The demonstrators,1
dataset_en,the trophy,the trophy,1
dataset_en,the suitcase,the suitcase,1
dataset_en,Joan,Joan,1
dataset_en,Susan,Susan,1
dataset_en,Paul,Paul,1
dataset_en,George,George,1
dataset_en,the witness,the lawyer,0
dataset_en,the witness,the witness,1
dataset_en,the delivery truck,the delivery truck,1
dataset_en,the school bus,the school bus,1
dataset_en,Bill,Frank,0
dataset_en,Bill,Bill,1
dataset_en,The man,The man,1
dataset_en,The son,The son,1
dataset_en,The large ball,The large ball,1
dataset_en,The table,The table,1
dataset_en,John,John,1
dataset_en,Billy,Billy,1
dataset_en,Tom,Tom,1
dataset_en,Tom,Ray,0
dataset_en,Sue,Sue,1
dataset_en,Sally,Sally,1
dataset_en,The sculpture,The sculpture,1
dataset_en,The shelf,The shelf,1
dataset_en,Sam's drawing,Sam's drawing,1
dataset_en,Tina's drawing,Tina's drawing,1
dataset_en,Anna,Anna,1
dataset_en,Lucy,Lucy,1
dataset_en,The firemen,The firemen,1
dataset_en,The police,The police,1
dataset_en,Frank,Frank,1
dataset_en,Tom,Tom,1
dataset_en,Jim,Jim,1
dataset_en,Kevin,Kevin,1
dataset_en,The sack of potatoes,The sack of potatoes,1
dataset_en,The sack of potatoes,The bag of flour,0
dataset_en,Pete,Pete,1
dataset_en,Martin,Martin,1
dataset_en,The older students,The older students,1
dataset_en,The younger students,The younger students,1
dataset_en,the bottle,the bottle,1
dataset_en,the cup,the cup,1
dataset_en,Susan,Susan,1
dataset_en,Ann,Ann,1
dataset_en,Sid,Sid,1
dataset_en,Mark,Mark,1
dataset_en,Susan,Susan,1
dataset_en,Ann,Ann,1
dataset_en,Joe,Joe,1
dataset_en,Joe's uncle,Joe's uncle,1
dataset_en,The painting,The painting,1
dataset_en,The oak tree,The oak tree,1
dataset_en,The gap,The gap,1
dataset_en,The wall,The wall,1
dataset_en,The drain,The drain,1
dataset_en,The hair,The hair,1
dataset_en,The meeting,The meeting,1
dataset_en,The train,The train,1
dataset_en,The pillar,The pillar,1
dataset_en,The stage,The stage,1
dataset_en,The announcement,The announcement,1
dataset_en,The subway,The subway,1
dataset_en,The concert,The concert,1
dataset_en,The rain,The rain,1
dataset_en,The rag,The rag,1
dataset_en,The knife,The knife,1
dataset_en,Ann,Ann,1
dataset_en,Mary,Mary,1
dataset_en,The water bottle,The water bottle,1
dataset_en,The backpack,The backpack,1
dataset_en,The shelf,The pot,0
dataset_en,The shelf,The shelf,1
dataset_en,The map,The map,1
dataset_en,The building,The building,1
dataset_en,Bob,Bob,1
dataset_en,Charlie,Charlie,1
dataset_en,Bob,Bob,1
dataset_en,Charlie,Charlie,1
dataset_en,Bob,Bob,1
dataset_en,Adam,Adam,1
dataset_en,Adam,Adam,1
dataset_en,Bob,Bob,1
dataset_en,The con artist,The con artist,1
dataset_en,Sam,Sam,1
dataset_en,The spot under the tree,The dog,0
dataset_en,The spot under the tree,The spot under the tree,1
dataset_en,The cat,The cat,1
dataset_en,The mouse,The mouse,1
dataset_en,Anne,Anne,1
dataset_en,Anne's daughter,Anne's daughter,1
dataset_en,Alice,Alice,1
dataset_en,Alice's daughter,Alice's daughter,1
dataset_en,Jim,Jim,1
dataset_en,the guy in uniform,the guy in uniform,1
dataset_en,The fish,The fish,1
dataset_en,The worm,The worm,1
dataset_en,The key,The key,1
dataset_en,The chewing gum,The chewing gum,1
dataset_en,The dog,The dog,1
dataset_en,The cat,The cat,1
dataset_en,The tree,The tree,1
dataset_en,The roof,The roof,1
dataset_en,The customer,The customer,1
dataset_en,The teller,The teller,1
dataset_en,John,John,1
dataset_en,The man,The man,1
dataset_en,John,John,1
dataset_en,The juggler,The juggler,1
dataset_en,Bob,Bob,1
dataset_en,Carl,Carl,1
dataset_en,Sam and Amy,Sam and Amy,1
dataset_en,Amy's parents,Amy's parents,1
