Dataset,Model Answer,Gold Label,Correct
dataset_en,The city councilmen,The city councilmen,1
dataset_en,The city councilmen,The demonstrators,0
dataset_en,the trophy,the trophy,1
dataset_en,the suitcase,the suitcase,1
dataset_en,Susan,Joan,0
dataset_en,Susan,Susan,1
dataset_en,George,Paul,0
dataset_en,George,George,1
dataset_en,the witness,the lawyer,0
dataset_en,the witness,the witness,1
dataset_en,the delivery truck,the delivery truck,1
dataset_en,the school bus,the school bus,1
dataset_en,Bill,Frank,0
dataset_en,Bill,Bill,1
dataset_en,The man,The man,1
dataset_en,The son,The son,1
dataset_en,The table,The large ball,0
dataset_en,The table,The table,1
dataset_en,Billy,John,0
dataset_en,Billy,Billy,1
dataset_en,Tom,Tom,1
dataset_en,Tom,Ray,0
dataset_en,Sue,Sue,1
dataset_en,Sue,Sally,0
dataset_en,The sculpture,The sculpture,1
dataset_en,The sculpture,The shelf,0
dataset_en,Tina's drawing,Sam's drawing,0
dataset_en,Tina's drawing,Tina's drawing,1
dataset_en,Anna,Anna,1
dataset_en,Anna,Lucy,0
dataset_en,The police,The firemen,0
dataset_en,The firemen,The police,0
dataset_en,Tom,Frank,0
dataset_en,Tom,Tom,1
dataset_en,Jim,Jim,1
dataset_en,Kevin,Kevin,1
dataset_en,The sack of potatoes,The sack of potatoes,1
dataset_en,The sack of potatoes,The bag of flour,0
dataset_en,Martin,Pete,0
dataset_en,Martin,Martin,1
dataset_en,The younger students,The older students,0
dataset_en,The younger students,The younger students,1
dataset_en,the cup,the bottle,0
dataset_en,the cup,the cup,1
dataset_en,Susan,Susan,1
dataset_en,Ann,Ann,1
dataset_en,Sid,Sid,1
dataset_en,Sid,Mark,0
dataset_en,Susan,Susan,1
dataset_en,Ann,Ann,1
dataset_en,Joe's uncle,Joe,0
dataset_en,Joe's uncle,Joe's uncle,1
dataset_en,The oak tree,The painting,0
dataset_en,The oak tree,The oak tree,1
dataset_en,The gap,The gap,1
dataset_en,The wall,The wall,1
dataset_en,The drain,The drain,1
dataset_en,The drain,The hair,0
dataset_en,The meeting,The meeting,1
dataset_en,The train,The train,1
dataset_en,The pillar,The pillar,1
dataset_en,The pillar,The stage,0
dataset_en,The subway,The announcement,0
dataset_en,The subway,The subway,1
dataset_en,The rain,The concert,0
dataset_en,The rain,The rain,1
dataset_en,The knife,The rag,0
dataset_en,The knife,The knife,1
dataset_en,Ann,Ann,1
dataset_en,Mary,Mary,1
dataset_en,The water bottle,The water bottle,1
dataset_en,The water bottle,The backpack,0
dataset_en,The pot,The pot,1
dataset_en,The shelf,The shelf,1
dataset_en,The building,The map,0
dataset_en,The building,The building,1
dataset_en,Bob,Bob,1
dataset_en,Bob,Charlie,0
dataset_en,Charlie,Bob,0
dataset_en,Charlie,Charlie,1
dataset_en,Adam,Bob,0
dataset_en,Adam,Adam,1
dataset_en,Bob,Adam,0
dataset_en,Bob,Bob,1
dataset_en,The con artist,The con artist,1
dataset_en,The con artist,Sam,0
dataset_en,The dog,The dog,1
dataset_en,The spot under the tree,The spot under the tree,1
dataset_en,The cat,The cat,1
dataset_en,The cat,The mouse,0
dataset_en,Anne's daughter,Anne,0
dataset_en,Anne's daughter,Anne's daughter,1
dataset_en,Alice's daughter,Alice,0
dataset_en,Alice's daughter,Alice's daughter,1
dataset_en,the guy in uniform,Jim,0
dataset_en,the guy in uniform,the guy in uniform,1
dataset_en,The fish,The fish,1
dataset_en,The fish,The worm,0
dataset_en,The key,The key,1
dataset_en,The chewing gum,The chewing gum,1
dataset_en,The cat,The dog,0
dataset_en,The cat,The cat,1
dataset_en,The tree,The tree,1
dataset_en,The roof,The roof,1
dataset_en,The customer,The customer,1
dataset_en,The teller,The teller,1
dataset_en,John,John,1
dataset_en,John,The man,0
dataset_en,The juggler,John,0
dataset_en,The juggler,The juggler,1
dataset_en,Carl,Bob,0
dataset_en,Carl,Carl,1
dataset_en,Amy's parents,Sam and Amy,0
dataset_en,Amy's parents,Amy's parents,1
dataset_en,Mark,Mark,1
dataset_en,Mark,Pete,0
dataset_en,The old house,The old house,1
dataset_en,The new house,The new house,1
dataset_en,People,People,1
dataset_en,Paul's books,Paul's books,1
dataset_en,The flute,The flute,1
dataset_en,The flute,The piece,0
dataset_en,The chair,The chair,1
dataset_en,The piano,The piano,1
dataset_en,The newspaper,The newspaper,1
dataset_en,The newspaper,The backpack,0
dataset_en,The book,The book,1
dataset_en,The book,The article,0
dataset_en,The sand castle,The sand castle,1
dataset_en,The sand castle,The flag,0
dataset_en,Jane,Jane,1
dataset_en,Susan,Susan,1
dataset_en,Susan,Jane,0
dataset_en,Susan,Susan,1
dataset_en,Sam,Sam,1
dataset_en,Adam,Adam,1
dataset_en,The path,The path,1
dataset_en,The lake,The lake,1
dataset_en,The sun,The sun,1
dataset_en,The sun,The cloud,0
dataset_en,The lake,The lake,1
dataset_en,The ocean beach,The ocean beach,1
dataset_en,The shepherds,The shepherds,1
dataset_en,The shepherds,The sheep,0
dataset_en,Mary,Mary,1
dataset_en,Mary's daughter,Mary's daughter,1
dataset_en,Fred and Alice,Fred and Alice,1
dataset_en,Fred and Alice,coats,0
dataset_en,Thomson,Thomson,1
dataset_en,Cooper,Cooper,1
dataset_en,Arnold,Jackson,0
dataset_en,Arnold,Arnold,1
dataset_en,The tree,The tree,1
dataset_en,The axe,The axe,1
dataset_en,The foxes,The foxes,1
dataset_en,The chickens,The chickens,1
dataset_en,The foxes,The foxes,1
dataset_en,The chickens,The chickens,1
dataset_en,His eyes,His eyes,1
dataset_en,His hands,His hands,1
dataset_en,Tina,Terpsichore,0
dataset_en,Tina,Tina,1
dataset_en,Fred,Fred,1
dataset_en,George,George,1
dataset_en,The dishwasher,The dishwasher,1
dataset_en,The TV,The TV,1
dataset_en,Fred,Fred,1
dataset_en,My great-grandfather,My great-grandfather,1
dataset_en,My father,Fred,0
dataset_en,My father,My father,1
dataset_en,Yakutsk,Kamchatka,0
dataset_en,Yakutsk,Yakutsk,1
dataset_en,The minnow,The minnow,1
dataset_en,The duck,The duck,1
dataset_en,Prehistoric humans,Archaeologists,0
dataset_en,Prehistoric humans,Prehistoric humans,1
dataset_en,The scientists,The scientists,1
dataset_en,The fish,The fish,1
dataset_en,The stars,The journalists,0
dataset_en,The stars,The stars,1
dataset_en,The gang members,The police,0
dataset_en,The gang members,The gang members,1
dataset_en,The cake,The cake,1
dataset_en,The refrigerator,The refrigerator,1
dataset_en,The ankles,The ankles,1
dataset_en,The ankles,The crutches,0
dataset_en,The opponents,The sponsors,0
dataset_en,The opponents,The opponents,1
dataset_en,The oatmeal cookies,The oatmeal cookies,1
dataset_en,The chocolate chip cookies,The chocolate chip cookies,1
dataset_en,copies of the newsletter,copies of the newsletter,1
dataset_en,chairs,chairs,1
dataset_en,The carrot,The pin,0
dataset_en,The carrot,The carrot,1
dataset_en,The pen,The pen,1
dataset_en,The pen,The coffee,0
dataset_en,Steve,Steve,1
dataset_en,Steve,Fred,0
dataset_en,The table,The table,1
dataset_en,The doorway,The doorway,1
dataset_en,The sweater,The sweater,1
dataset_en,The sweater,The jacket,0
dataset_en,John,John,1
dataset_en,Bill,Bill,1
dataset_en,John,John,1
dataset_en,Bill,Bill,1
dataset_en,Xenophanes,Goodman,0
dataset_en,Xenophanes,Xenophanes,1
dataset_en,Emma's mother,Emma,0
dataset_en,Emma's mother,Emma's mother,1
dataset_en,Susan,Jane,0
dataset_en,Susan,Susan,1
dataset_en,the detective,Joe,0
dataset_en,the detective,the detective,1
dataset_en,Beth,Beth,1
dataset_en,Beth,Sally,0
dataset_en,Jim,Jim,1
dataset_en,Jim,The barman,0
dataset_en,Bill,Dan,0
dataset_en,Bill,Bill,1
dataset_en,Tom,Tom,1
dataset_en,Ralph,Ralph,1
dataset_en,Andrea,Andrea,1
dataset_en,Andrea,Susan,0
dataset_en,Tom,Tom,1
dataset_en,Tom,Ralph,0
dataset_en,John,Bill,0
dataset_en,John,John,1
dataset_en,John,Bill,0
dataset_en,John,John,1
dataset_en,The man,The man,1
dataset_en,The man,The boy,0
dataset_en,The woman,The woman,1
dataset_en,The woman,The girl,0
dataset_en,Toby,Billy,0
dataset_en,Toby,Toby,1
dataset_en,Donna,Lily,0
dataset_en,Donna,Donna,1
dataset_en,Timmy,Tommy,0
dataset_en,Timmy,Timmy,1
dataset_en,Ollie,Ollie,1
dataset_en,Tommy,Tommy,1
dataset_en,The father,The father,1
dataset_en,The father,The boy,0
dataset_en,The girl,The woman,0
dataset_en,The girl,The girl,1
dataset_en,Pam's parents,Pam's parents,1
dataset_en,Pam's parents,Pam and Paul,0
dataset_en,Kate,Dr. Adams,0
dataset_en,Kate,Kate,1
dataset_en,Dan,Dan,1
dataset_en,Bill,Bill,1
dataset_en,Eric,George,0
dataset_en,Eric,Eric,1
dataset_en,Eric,George,0
dataset_en,Jane,Jane,1
dataset_en,Jane,Joan,0
dataset_en,lemon trees,lemons,0
dataset_en,lemon trees,lemon trees,1
dataset_en,Robert,James,0
dataset_en,Robert,Robert,1
dataset_en,Shatov,Kirilov,0
dataset_en,Shatov,Shatov,1
dataset_en,Janie,Emma,0
dataset_en,Janie,Janie,1
dataset_en,The butterfly wing,The butterfly wing,1
dataset_en,The table,The table,1
dataset_en,Madonna,Madonna,1
dataset_en,Madonna,The trainer,0
dataset_en,Madonna,Madonna,1
dataset_en,Madonna,The trainer,0
dataset_en,Rebecca,Carol,0
dataset_en,Rebecca,Rebecca,1
dataset_en,Shakespeare,Shakespeare,1
dataset_en,Goethe,Goethe,1
dataset_en,Ovid,Ovid,1
dataset_en,Goethe,Shakespeare,0
dataset_en,Jade,Alice,0
dataset_en,Jade,Jade,1
dataset_en,Luke,Ethan,0
dataset_en,Ethan,Luke,0
dataset_en,the chatbots,the judges,0
dataset_en,the chatbots,the chatbots,1
dataset_en,willow-towered Canopy Huntertropic wrestles,GrWQWu8JyC,0
dataset_en,willow-towered Canopy Huntertropic wrestles,willow-towered Canopy Huntertropic wrestles,1
dataset_th,สมาชิกสภาเทศบาลเมือง,สมาชิกสภาเทศบาลเมือง,1
dataset_th,สมาชิกสภาเทศบาลเมือง,ผู้ชุมนุม,0
dataset_th,ถ้วยรางวัล,ถ้วยรางวัล,1
dataset_th,ถ้วยรางวัล,กระเป๋าเดินทาง,0
dataset_th,ชูใจ,ชูใจ,1
dataset_th,ชูใจ,มานี,0
dataset_th,ปิติ,มานะ,0
dataset_th,ปิติ,ปิติ,1
dataset_th,พยาน,ทนายความ,0
dataset_th,พยาน,พยาน,1
dataset_th,รถส่งของ,รถส่งของ,1
dataset_th,รถส่งของ,รถโรงเรียน,0
dataset_th,สมศักดิ์,สมชาย,0
dataset_th,สมศักดิ์,สมศักดิ์,1
dataset_th,ชายคนนั้น,ชายคนนั้น,1
dataset_th,ลูกชาย,ลูกชาย,1
dataset_th,ลูกบอลอันใหญ่,ลูกบอลอันใหญ่,1
dataset_th,ลูกบอลอันใหญ่,โต๊ะ,0
dataset_th,สมจิต,สมเกียรติ,0
dataset_th,สมเกียรติ,สมจิต,0
dataset_th,สมบัตร,สมบูรณ์,0
dataset_th,สมบัตร,สมบัตร,1
dataset_th,ตะวัน,ตะวัน,1
dataset_th,ตะวัน,ต้องตา,0
dataset_th,หุ่นตัวนั้น,หุ่นตัวนั้น,1
dataset_th,หุ่นตัวนั้น,ชั้นวาง,0
dataset_th,ภาพวาดของขิม,ภาพวาดของขิม,1
dataset_th,ภาพวาดของขิม,ภาพวาดของปลื้ม,0
dataset_th,น้ำค้าง,น้ำฝน,0
dataset_th,น้ำค้าง,น้ำค้าง,1
dataset_th,ตำรวจ,นักดับเพลิง,0
dataset_th,นักดับเพลิง,ตำรวจ,0
dataset_th,ภัทร,นนท์,0
dataset_th,ภัทร,ภัทร,1
dataset_th,ภีม,กรณ์,0
dataset_th,ภีม,ภีม,1
dataset_th,กระสอบมันฝรั่ง,กระสอบมันฝรั่ง,1
dataset_th,กระสอบมันฝรั่ง,ถุงแป้ง,0
dataset_th,ภาคิน,ภาคิน,1
dataset_th,ภาคิน,ออมสิน,0
dataset_th,นักเรียนที่โตกว่า,นักเรียนที่โตกว่า,1
dataset_th,เด็กที่เด็กกว่า,เด็กที่เด็กกว่า,1
dataset_th,แก้ว,ขวด,0
dataset_th,แก้ว,แก้ว,1
dataset_th,พู่กัน,จันทร์เจ้า,0
dataset_th,พู่กัน,พู่กัน,1
dataset_th,ปิติ,มานะ,0
dataset_th,ปิติ,ปิติ,1
dataset_th,สมใจ,สมศรี,0
dataset_th,สมใจ,สมใจ,1
dataset_th,ลุงของตะวัน,ตะวัน,0
